Printer_Name,Consumable_Sku
Brother HL-2040,"CPT/TN350,CPT/TN350J,CPT/DR350"
Brother HL-2070N,"CPT/TN350,CPT/TN350J,CPT/DR350"
Brother HL-2030,"CPT/TN350,CPT/TN350J,CPT/DR350"
Brother IntelliFax 2820,"CPT/TN350,CPT/TN350J,CPT/DR350"
Brother DCP-7020,"CPT/TN350,CPT/TN350J,CPT/DR350"
Brother MFC-7420,"CPT/TN350,CPT/TN350J,CPT/DR350"
Brother MFC-7820,"CPT/TN350,CPT/TN350J,CPT/DR350"
Brother MFC-7220,"CPT/TN350,CPT/TN350J,CPT/DR350"
Brother IntelliFax 2920,"CPT/TN350,CPT/TN350J,CPT/DR350"
Brother MFC-7225N,"CPT/TN350,CPT/TN350J,CPT/DR350"
Brother IntelliFax 2910,"CPT/TN350,CPT/TN350J,CPT/DR350"
Brother MFC-7820N,"CPT/TN350,CPT/TN350J,CPT/DR350"
Brother FAX-2825,"CPT/TN350,CPT/TN350J,CPT/DR350"
Brother HL-2270DW,"CPT/TN450J,CPT/DR420,CPT/TN450"
Brother HL-2240,"CPT/TN450J,CPT/DR420,CPT/TN450"
Brother HL-2240D,"CPT/TN450J,CPT/DR420,CPT/TN450"
Brother HL-2230,"CPT/TN450J,CPT/DR420,CPT/TN450"
Brother MFC-7360N,"CPT/TN450J,CPT/DR420,CPT/TN450"
Brother MFC-7460DN,"CPT/TN450J,CPT/DR420,CPT/TN450"
Brother MFC-7860DW,"CPT/TN450J,CPT/DR420,CPT/TN450"
Brother HL-2280DW,"CPT/TN450J,CPT/DR420,CPT/TN450"
Brother HL-2220,"CPT/TN450J,CPT/DR420,CPT/TN450"
Brother DCP-7065DN,"CPT/TN450J,CPT/DR420,CPT/TN450"
Brother DCP-7060D,"CPT/TN450J,CPT/DR420,CPT/TN450"
Brother MFC-7240,"CPT/TN450J,CPT/DR420,CPT/TN450"
Brother IntelliFax 2840,"CPT/TN450J,CPT/DR420,CPT/TN450"
Brother IntelliFax 2940,"CPT/TN450J,CPT/DR420,CPT/TN450"
Brother MFC-7365DN,"CPT/TN450J,CPT/DR420,CPT/TN450"
Brother HL-2275DW,"CPT/TN450J,CPT/DR420,CPT/TN450"
Brother HL-1240,"CPT/TN460,CPT/DR400"
Brother HL-1250,"CPT/TN460,CPT/DR400"
Brother MFC-8300,"CPT/TN460,CPT/DR400"
Brother MFC-8600,"CPT/TN460,CPT/DR400"
Brother MFC-9880,"CPT/TN460,CPT/DR400"
Brother HL-1270N,"CPT/TN460,CPT/DR400"
Brother FAX-4750,"CPT/TN460,CPT/DR400"
Brother FAX-5750,"CPT/TN460,CPT/DR400"
